,Localidad,Fecha,Toneladas
336,AMAZONAS,2020-10-15,64736.371397
337,AMAZONAS,2020-10-16,30120.04795
338,AMAZONAS,2020-10-17,90305.38023
339,AMAZONAS,2020-10-19,70785.053677
340,AMAZONAS,2020-10-20,50329.044846
341,AMAZONAS,2020-10-21,19296.226953
342,AMAZONAS,2020-10-22,32344.238549
343,AMAZONAS,2020-10-23,45709.045033
344,AMAZONAS,2020-10-24,4176.148235
345,AMAZONAS,2020-10-26,8752.195994
346,AMAZONAS,2020-10-27,40408.901481
347,AMAZONAS,2020-10-28,28624.661454
348,AMAZONAS,2020-10-29,26992.921561
349,AMAZONAS,2020-10-30,277181.569835
350,AMAZONAS,2020-10-31,62535.527002
351,AMAZONAS,2020-11-01,104.0
352,AMAZONAS,2020-11-02,11088.329208
353,AMAZONAS,2020-11-03,36184.831441
354,AMAZONAS,2020-11-04,18144.510389
355,AMAZONAS,2020-11-05,22258.923879
356,AMAZONAS,2020-11-06,17448.820644
357,AMAZONAS,2020-11-07,119664.760556
358,AMAZONAS,2020-11-09,11000.482624
359,AMAZONAS,2020-11-10,24256.635091
360,AMAZONAS,2020-11-11,12080.601237
361,AMAZONAS,2020-11-12,67208.446416
362,AMAZONAS,2020-11-13,34340.962103
363,AMAZONAS,2020-11-14,46792.436309
364,AMAZONAS,2020-11-16,41064.644278
365,AMAZONAS,2020-11-17,129010.54374
366,AMAZONAS,2020-11-18,5976.533383
367,AMAZONAS,2020-11-19,167698.647236
368,AMAZONAS,2020-11-20,20176.874607
369,AMAZONAS,2020-11-21,201000.779519
370,AMAZONAS,2020-11-23,96720.3889
371,AMAZONAS,2020-11-24,92200.692155
372,AMAZONAS,2020-11-25,32440.595853
373,AMAZONAS,2020-11-26,133688.397093
374,AMAZONAS,2020-11-27,76000.745377
375,AMAZONAS,2020-11-28,35692.42693
376,AMAZONAS,2020-11-29,0.370302
377,AMAZONAS,2020-11-30,130660.635551
378,AMAZONAS,2020-12-01,6400.163907
379,AMAZONAS,2020-12-02,14432.937284
380,AMAZONAS,2020-12-03,32332.43027
381,AMAZONAS,2020-12-04,41096.171135
382,AMAZONAS,2020-12-05,464.143777
383,AMAZONAS,2020-12-07,56200.732937
384,AMAZONAS,2020-12-08,19152.334878
385,AMAZONAS,2020-12-09,10992.161527
386,AMAZONAS,2020-12-10,84312.347115
387,AMAZONAS,2020-12-11,26905.959498
388,AMAZONAS,2020-12-12,17416.184604
389,AMAZONAS,2020-12-13,7040.976902
390,AMAZONAS,2020-12-14,16416.86717
391,AMAZONAS,2020-12-15,36336.758044
392,AMAZONAS,2020-12-16,1065.587091
393,AMAZONAS,2020-12-17,30560.441332
394,AMAZONAS,2020-12-18,126632.03217
395,AMAZONAS,2020-12-19,57202.302756
396,AMAZONAS,2020-12-21,30765.427297
397,AMAZONAS,2020-12-22,68560.920836
398,AMAZONAS,2020-12-23,25504.91941
399,AMAZONAS,2020-12-26,47160.324155
400,AMAZONAS,2020-12-28,38825.835102
401,AMAZONAS,2020-12-29,18529.400504
402,AMAZONAS,2020-12-30,20600.192012
403,AMAZONAS,2020-12-31,15896.170582
404,AMAZONAS,2021-01-04,21488.364122
405,AMAZONAS,2021-01-05,9977.072553
406,AMAZONAS,2021-01-06,4369.021582
407,AMAZONAS,2021-01-07,35640.809329
408,AMAZONAS,2021-01-08,17037.134222
409,AMAZONAS,2021-01-09,27888.697933
410,AMAZONAS,2021-01-11,28397.043812
411,AMAZONAS,2021-01-12,38657.364223
412,AMAZONAS,2021-01-13,87842.5555
413,AMAZONAS,2021-01-14,43636.443127
414,AMAZONAS,2021-01-15,38932.965295
415,AMAZONAS,2021-01-16,0.379537
416,AMAZONAS,2021-01-18,41304.86725
417,AMAZONAS,2021-01-19,43340.869635
418,AMAZONAS,2021-01-20,66620.819658
419,AMAZONAS,2021-01-21,36185.279713
420,AMAZONAS,2021-01-22,49436.79117
421,AMAZONAS,2021-01-23,500600.566708
422,AMAZONAS,2021-01-25,235456.109289
423,AMAZONAS,2021-01-26,67640.835816
424,AMAZONAS,2021-01-27,119924.755221
425,AMAZONAS,2021-01-28,8472.18882
426,AMAZONAS,2021-01-29,1960.234622
427,AMAZONAS,2021-01-30,19448.296135
428,AMAZONAS,2021-02-01,144.123076
429,AMAZONAS,2021-02-02,27272.199269
430,AMAZONAS,2021-02-03,37160.269066
431,AMAZONAS,2021-02-04,31120.551287
432,AMAZONAS,2021-02-05,42520.269219
433,AMAZONAS,2021-02-06,17133.342993
434,AMAZONAS,2021-02-08,75505.24022
435,AMAZONAS,2021-02-09,16561.393541
436,AMAZONAS,2021-02-10,136660.592785
437,AMAZONAS,2021-02-11,35553.016818
438,AMAZONAS,2021-02-12,75088.731242
439,AMAZONAS,2021-02-13,61488.857604
440,AMAZONAS,2021-02-14,18976.510499
441,AMAZONAS,2021-02-15,27296.649864
442,AMAZONAS,2021-02-16,57100.73643
443,AMAZONAS,2021-02-17,44417.371982
444,AMAZONAS,2021-02-18,64376.593477
445,AMAZONAS,2021-02-19,32224.842019
446,AMAZONAS,2021-02-20,36048.23
447,AMAZONAS,2021-02-22,76738.325089
448,AMAZONAS,2021-02-23,33632.229077
449,AMAZONAS,2021-02-24,33936.803023
450,AMAZONAS,2021-02-25,47389.218186
451,AMAZONAS,2021-02-26,24872.789295
452,AMAZONAS,2021-02-27,54053.103005
453,AMAZONAS,2021-03-01,19558.156604
454,AMAZONAS,2021-03-02,28048.508304
455,AMAZONAS,2021-03-03,28884.550053
456,AMAZONAS,2021-03-04,16176.360336
457,AMAZONAS,2021-03-05,36856.658651
458,AMAZONAS,2021-03-06,49904.374954
459,AMAZONAS,2021-03-08,51064.52566
460,AMAZONAS,2021-03-09,34084.805051
461,AMAZONAS,2021-03-10,72429.185224
462,AMAZONAS,2021-03-11,27196.219471
463,AMAZONAS,2021-03-12,15656.624334
464,AMAZONAS,2021-03-13,35360.667591
465,AMAZONAS,2021-03-15,30392.407407
466,AMAZONAS,2021-03-16,48192.146513
467,AMAZONAS,2021-03-17,8344.719293
468,AMAZONAS,2021-03-18,32480.62543
469,AMAZONAS,2021-03-19,37600.406909
470,AMAZONAS,2021-03-20,25752.571344
471,AMAZONAS,2021-03-22,89057.320577
472,AMAZONAS,2021-03-23,27840.595639
473,AMAZONAS,2021-03-24,64857.69109
474,AMAZONAS,2021-03-25,52849.138676
475,AMAZONAS,2021-03-26,32336.556026
476,AMAZONAS,2021-03-27,70506.550055
477,AMAZONAS,2021-03-29,302288.821331
478,AMAZONAS,2021-03-30,72137.092177
479,AMAZONAS,2021-03-31,33753.371823
480,AMAZONAS,2021-04-01,0.004244
481,AMAZONAS,2021-04-02,352.006366
482,AMAZONAS,2021-04-03,29352.41127
483,AMAZONAS,2021-04-05,41748.509855
484,AMAZONAS,2021-04-06,93376.889996
485,AMAZONAS,2021-04-07,35777.427884
486,AMAZONAS,2021-04-08,95460.343372
487,AMAZONAS,2021-04-09,49952.654646
488,AMAZONAS,2021-04-10,17304.339089
489,AMAZONAS,2021-04-12,96256.513221
490,AMAZONAS,2021-04-13,33696.333686
491,AMAZONAS,2021-04-14,32209.531132
492,AMAZONAS,2021-04-15,52921.014623
493,AMAZONAS,2021-04-16,34743.787712
494,AMAZONAS,2021-04-17,1872.070893
495,AMAZONAS,2021-04-19,67712.598019
496,AMAZONAS,2021-04-20,269056.715135
497,AMAZONAS,2021-04-21,58736.768579
498,AMAZONAS,2021-04-22,181453.538036
499,AMAZONAS,2021-04-23,19344.433457
500,AMAZONAS,2021-04-24,37312.082456
501,AMAZONAS,2021-04-26,13088.31033
502,AMAZONAS,2021-04-27,37400.7625
503,AMAZONAS,2021-04-28,9144.634933
504,AMAZONAS,2021-04-29,172318.577326
505,AMAZONAS,2021-04-30,721509.362667
506,AMAZONAS,2021-05-01,3632.009417
507,AMAZONAS,2021-05-03,0.019317
508,AMAZONAS,2021-05-04,21704.582242
509,AMAZONAS,2021-05-05,41384.711521
510,AMAZONAS,2021-05-06,31968.011474
511,AMAZONAS,2021-05-07,22720.267147
512,AMAZONAS,2021-05-08,38040.627347
513,AMAZONAS,2021-05-10,37760.514867
514,AMAZONAS,2021-05-11,21944.326213
515,AMAZONAS,2021-05-12,138312.147485
516,AMAZONAS,2021-05-13,25305.456231
517,AMAZONAS,2021-05-14,9273.110339
518,AMAZONAS,2021-05-15,290848.604369
519,AMAZONAS,2021-05-17,68272.432964
520,AMAZONAS,2021-05-18,37392.1849
521,AMAZONAS,2021-05-19,23728.780377
522,AMAZONAS,2021-05-20,60560.036129
523,AMAZONAS,2021-05-21,43088.625854
