,Localidad,Fecha,Cantidad
178,AMAZONAS,2020-04-24,1532.25
179,AMAZONAS,2020-04-25,2611.0
180,AMAZONAS,2020-04-27,144.92
181,AMAZONAS,2020-04-28,2950.17
182,AMAZONAS,2020-04-29,5669.13
183,AMAZONAS,2020-04-30,5733.15
184,AMAZONAS,2020-05-01,1192.0
185,AMAZONAS,2020-05-02,2160.0
186,AMAZONAS,2020-05-04,5987.83
187,AMAZONAS,2020-05-05,3152.17
188,AMAZONAS,2020-05-06,2189.5
189,AMAZONAS,2020-05-07,4175.5
190,AMAZONAS,2020-05-08,2694.0
191,AMAZONAS,2020-05-09,1199.33
192,AMAZONAS,2020-05-10,1302.0
193,AMAZONAS,2020-05-11,2579.0
194,AMAZONAS,2020-05-12,1434.6
195,AMAZONAS,2020-05-13,1771.0
196,AMAZONAS,2020-05-14,1385.85
197,AMAZONAS,2020-05-15,2243.0
198,AMAZONAS,2020-05-16,1074.41
199,AMAZONAS,2020-05-17,1238.0
200,AMAZONAS,2020-05-18,2588.46
201,AMAZONAS,2020-05-19,2270.88
202,AMAZONAS,2020-05-20,2257.0
203,AMAZONAS,2020-05-21,1877.88
204,AMAZONAS,2020-05-22,1729.5
205,AMAZONAS,2020-05-23,2330.5
206,AMAZONAS,2020-05-24,1755.0
207,AMAZONAS,2020-05-25,1215.5
208,AMAZONAS,2020-05-26,2793.33
209,AMAZONAS,2020-05-27,1945.5
210,AMAZONAS,2020-05-28,687.63
211,AMAZONAS,2020-05-29,4803.92
212,AMAZONAS,2020-05-30,3170.25
213,AMAZONAS,2020-06-01,28.0
214,AMAZONAS,2020-06-02,311.79
215,AMAZONAS,2020-06-03,1529.0
216,AMAZONAS,2020-06-04,1016.0
217,AMAZONAS,2020-06-05,1851.45
218,AMAZONAS,2020-06-06,508.0
219,AMAZONAS,2020-06-08,2003.0
220,AMAZONAS,2020-06-09,2707.32
221,AMAZONAS,2020-06-10,2814.88
222,AMAZONAS,2020-06-11,3586.13
223,AMAZONAS,2020-06-12,2166.42
224,AMAZONAS,2020-06-13,1575.58
225,AMAZONAS,2020-06-15,2245.17
226,AMAZONAS,2020-06-16,2471.7
227,AMAZONAS,2020-06-17,1282.56
228,AMAZONAS,2020-06-18,1327.63
229,AMAZONAS,2020-06-19,4631.5
230,AMAZONAS,2020-06-20,2741.17
231,AMAZONAS,2020-06-22,1720.67
232,AMAZONAS,2020-06-23,1986.0
233,AMAZONAS,2020-06-24,1189.5
234,AMAZONAS,2020-06-25,89.13
235,AMAZONAS,2020-06-26,2829.0
236,AMAZONAS,2020-06-27,239.0
237,AMAZONAS,2020-06-29,967.75
238,AMAZONAS,2020-06-30,1158.67
239,AMAZONAS,2020-07-01,98.0
240,AMAZONAS,2020-07-02,1199.13
241,AMAZONAS,2020-07-03,2548.25
242,AMAZONAS,2020-07-04,1474.88
243,AMAZONAS,2020-07-05,242.5
244,AMAZONAS,2020-07-06,1198.63
245,AMAZONAS,2020-07-07,2327.75
246,AMAZONAS,2020-07-08,1272.13
247,AMAZONAS,2020-07-09,1358.25
248,AMAZONAS,2020-07-10,1302.17
249,AMAZONAS,2020-07-11,1460.67
250,AMAZONAS,2020-07-13,857.42
251,AMAZONAS,2020-07-14,1172.96
252,AMAZONAS,2020-07-15,1076.54
253,AMAZONAS,2020-07-16,565.75
254,AMAZONAS,2020-07-17,1275.0
255,AMAZONAS,2020-07-18,1382.63
256,AMAZONAS,2020-07-20,1750.0
257,AMAZONAS,2020-07-21,2425.03
258,AMAZONAS,2020-07-22,569.15
259,AMAZONAS,2020-07-23,1373.15
260,AMAZONAS,2020-07-24,1103.15
261,AMAZONAS,2020-07-25,1800.0
262,AMAZONAS,2020-07-26,1788.0
263,AMAZONAS,2020-07-27,2673.38
264,AMAZONAS,2020-07-28,2066.0
265,AMAZONAS,2020-07-29,732.25
266,AMAZONAS,2020-07-30,1521.63
267,AMAZONAS,2020-07-31,41.05
268,AMAZONAS,2020-08-01,135.0
269,AMAZONAS,2020-08-02,332.0
270,AMAZONAS,2020-08-03,1018.0
271,AMAZONAS,2020-08-04,2159.31
272,AMAZONAS,2020-08-05,993.71
273,AMAZONAS,2020-08-06,1382.84
274,AMAZONAS,2020-08-07,1407.02
275,AMAZONAS,2020-08-08,785.5
276,AMAZONAS,2020-08-10,1708.5
277,AMAZONAS,2020-08-11,1855.25
278,AMAZONAS,2020-08-12,1251.4
279,AMAZONAS,2020-08-13,1653.85
280,AMAZONAS,2020-08-14,103.16
281,AMAZONAS,2020-08-15,1779.5
282,AMAZONAS,2020-08-17,1482.38
283,AMAZONAS,2020-08-18,1694.5
284,AMAZONAS,2020-08-19,1421.0
285,AMAZONAS,2020-08-20,1993.85
286,AMAZONAS,2020-08-21,22.75
287,AMAZONAS,2020-08-22,442.5
288,AMAZONAS,2020-08-24,1219.67
289,AMAZONAS,2020-08-25,4013.13
290,AMAZONAS,2020-08-26,2646.88
291,AMAZONAS,2020-08-27,3184.4
292,AMAZONAS,2020-08-28,1929.2
293,AMAZONAS,2020-08-29,2890.93
294,AMAZONAS,2020-08-30,1572.0
295,AMAZONAS,2020-08-31,2037.82
296,AMAZONAS,2020-09-01,396.0
297,AMAZONAS,2020-09-02,2052.5
298,AMAZONAS,2020-09-03,577.33
